h,data,real,pred,variante
12,2023-12-31,1109.0,452.5321920910737,atual
12,2024-01-14,1849.0,610.7547642947559,atual
12,2024-01-28,1855.0,351.2629360876835,atual
12,2024-02-11,911.0,284.5888318370951,atual
12,2024-02-25,646.0,621.7852604098791,atual
12,2024-03-10,199.0,126.24623411096653,atual
12,2024-03-24,277.0,216.38022235150046,atual
12,2024-04-07,89.0,24.92705935867025,atual
12,2024-04-21,10.0,153.56020615063102,atual
12,2024-05-05,22.0,0.0,atual
12,2024-05-19,16.0,0.0,atual
12,2024-06-02,14.0,9.811639870775325,atual
12,2024-06-16,7.0,0.0,atual
12,2024-06-30,7.0,2.021585927890542,atual
12,2024-07-14,6.0,0.0,atual
12,2024-07-28,3.0,3.0926126345228564,atual
12,2024-08-11,1.0,23.00350194194202,atual
12,2024-08-25,0.0,37.569405165516265,atual
12,2024-09-08,4.0,44.13605728145864,atual
12,2024-09-22,1.0,0.0,atual
12,2024-10-06,19.0,0.0,atual
12,2024-10-20,32.0,27.145479669700848,atual
12,2024-11-03,47.0,23.336387053834866,atual
12,2024-11-17,161.0,177.30176133507925,atual
12,2024-12-01,383.0,291.9303488204814,atual
12,2024-12-15,917.0,632.1486750078972,atual
12,2024-12-29,1801.0,1074.2770823129306,atual
12,2025-01-12,2184.0,1538.1633976452076,atual
12,2025-01-26,2229.0,1544.5631462076808,atual
12,2025-02-09,2159.0,972.3406087128244,atual
12,2025-02-23,1988.0,705.2379039106296,atual
12,2025-03-09,579.0,114.86480418205018,atual
12,2025-03-23,105.0,201.3921463438168,atual
12,2025-04-06,22.0,205.78787359403648,atual
12,2025-04-20,7.0,31.538275996331233,atual
12,2025-05-04,5.0,69.55308047516985,atual
12,2025-05-18,11.0,32.359947183979195,atual
12,2025-06-01,4.0,0.0,atual
12,2025-06-15,6.0,0.0,atual
12,2025-06-29,9.0,0.0,atual
12,2025-07-13,7.0,13.795216450058655,atual
12,2025-07-27,4.0,0.0,atual
